sensor_id,lokasi,tipe_sensor,timestamp,suhu,kelembapan,amonia,status_pintu,tekanan,pm25
TEMP-B1,Cold Room B,suhu,2026-05-06T09:44:00.110841+00:00,-18.25,,,,,33.03
TEMP-A1,Cold Room A,suhu,2026-05-06T09:44:00.110841+00:00,-20.33,,,,,31.65
PRESS-B1,Cold Room B,tekanan,2026-05-06T09:54:00.110841+00:00,,,,,79.78,17.77
PRESS-A1,Cold Room A,tekanan,2026-05-06T09:54:00.110841+00:00,,,,,60.15,21.28
DOOR-B1,Cold Room B,pintu,2026-05-06T09:54:00.110841+00:00,,,,0,,15.55
DOOR-A1,Cold Room A,pintu,2026-05-06T09:54:00.110841+00:00,,,,0,,14.31
NH3-B1,Cold Room B,amonia,2026-05-06T09:54:00.110841+00:00,,,5.0,,,7.5
NH3-A1,Cold Room A,amonia,2026-05-06T09:54:00.110841+00:00,,,7.51,,,11.27
HUM-B1,Cold Room B,kelembapan,2026-05-06T09:54:00.110841+00:00,,88.03,,,,30.35
HUM-A1,Cold Room A,kelembapan,2026-05-06T09:54:00.110841+00:00,,90.56,,,,30.83
TEMP-B1,Cold Room B,suhu,2026-05-06T09:54:00.110841+00:00,-20.97,,,,,20.02
TEMP-A1,Cold Room A,suhu,2026-05-06T09:54:00.110841+00:00,-18.05,,,,,35.23
PRESS-B1,Cold Room B,tekanan,2026-05-06T10:04:00.110841+00:00,,,,,55.16,17.86
PRESS-A1,Cold Room A,tekanan,2026-05-06T10:04:00.110841+00:00,,,,,55.42,13.6
DOOR-B1,Cold Room B,pintu,2026-05-06T10:04:00.110841+00:00,,,,0,,10.47
DOOR-A1,Cold Room A,pintu,2026-05-06T10:04:00.110841+00:00,,,,0,,6.54
NH3-B1,Cold Room B,amonia,2026-05-06T10:04:00.110841+00:00,,,0.98,,,1.47
NH3-A1,Cold Room A,amonia,2026-05-06T10:04:00.110841+00:00,,,1.42,,,2.13
HUM-B1,Cold Room B,kelembapan,2026-05-06T10:04:00.110841+00:00,,94.81,,,,34.31
HUM-A1,Cold Room A,kelembapan,2026-05-06T10:04:00.110841+00:00,,93.03,,,,21.12
TEMP-B1,Cold Room B,suhu,2026-05-06T10:04:00.110841+00:00,-19.42,,,,,13.19
TEMP-A1,Cold Room A,suhu,2026-05-06T10:04:00.110841+00:00,-20.47,,,,,36.46
PRESS-B1,Cold Room B,tekanan,2026-05-06T10:14:00.110841+00:00,,,,,70.07,14.77
PRESS-A1,Cold Room A,tekanan,2026-05-06T10:14:00.110841+00:00,,,,,70.68,18.27
DOOR-B1,Cold Room B,pintu,2026-05-06T10:14:00.110841+00:00,,,,0,,12.6
DOOR-A1,Cold Room A,pintu,2026-05-06T10:14:00.110841+00:00,,,,1,,168.62
NH3-B1,Cold Room B,amonia,2026-05-06T10:14:00.110841+00:00,,,1.91,,,2.86
NH3-A1,Cold Room A,amonia,2026-05-06T10:14:00.110841+00:00,,,6.34,,,9.51
HUM-B1,Cold Room B,kelembapan,2026-05-06T10:14:00.110841+00:00,,90.74,,,,39.61
HUM-A1,Cold Room A,kelembapan,2026-05-06T10:14:00.110841+00:00,,87.61,,,,24.86
TEMP-B1,Cold Room B,suhu,2026-05-06T10:14:00.110841+00:00,-18.87,,,,,5.13
TEMP-A1,Cold Room A,suhu,2026-05-06T10:14:00.110841+00:00,-18.53,,,,,6.5
PRESS-B1,Cold Room B,tekanan,2026-05-06T10:24:00.110841+00:00,,,,,61.23,19.4
PRESS-A1,Cold Room A,tekanan,2026-05-06T10:24:00.110841+00:00,,,,,16.03,175.2
DOOR-B1,Cold Room B,pintu,2026-05-06T10:24:00.110841+00:00,,,,1,,193.81
DOOR-A1,Cold Room A,pintu,2026-05-06T10:24:00.110841+00:00,,,,0,,13.3
NH3-B1,Cold Room B,amonia,2026-05-06T10:24:00.110841+00:00,,,6.31,,,9.46
NH3-A1,Cold Room A,amonia,2026-05-06T10:24:00.110841+00:00,,,49.28,,,295.68
HUM-B1,Cold Room B,kelembapan,2026-05-06T10:24:00.110841+00:00,,93.74,,,,30.86
HUM-A1,Cold Room A,kelembapan,2026-05-06T10:24:00.110841+00:00,,87.15,,,,26.77
TEMP-B1,Cold Room B,suhu,2026-05-06T10:24:00.110841+00:00,-18.42,,,,,13.64
TEMP-A1,Cold Room A,suhu,2026-05-06T10:24:00.110841+00:00,-18.53,,,,,5.66
PRESS-B1,Cold Room B,tekanan,2026-05-06T10:34:00.110841+00:00,,,,,74.69,18.28
PRESS-A1,Cold Room A,tekanan,2026-05-06T10:34:00.110841+00:00,,,,,59.13,26.28
DOOR-B1,Cold Room B,pintu,2026-05-06T10:34:00.110841+00:00,,,,0,,11.27
DOOR-A1,Cold Room A,pintu,2026-05-06T10:34:00.110841+00:00,,,,0,,17.46
NH3-B1,Cold Room B,amonia,2026-05-06T10:34:00.110841+00:00,,,6.91,,,10.37
NH3-A1,Cold Room A,amonia,2026-05-06T10:34:00.110841+00:00,,,8.08,,,12.12
HUM-B1,Cold Room B,kelembapan,2026-05-06T10:34:00.110841+00:00,,91.85,,,,26.61
HUM-A1,Cold Room A,kelembapan,2026-05-06T10:34:00.110841+00:00,,90.36,,,,39.5
TEMP-B1,Cold Room B,suhu,2026-05-06T10:34:00.110841+00:00,-19.29,,,,,16.18
TEMP-A1,Cold Room A,suhu,2026-05-06T10:34:00.110841+00:00,-19.91,,,,,12.02
PRESS-B1,Cold Room B,tekanan,2026-05-06T10:44:00.110841+00:00,,,,,56.4,28.16
PRESS-A1,Cold Room A,tekanan,2026-05-06T10:44:00.110841+00:00,,,,,69.92,15.31
DOOR-B1,Cold Room B,pintu,2026-05-06T10:44:00.110841+00:00,,,,0,,12.79
DOOR-A1,Cold Room A,pintu,2026-05-06T10:44:00.110841+00:00,,,,0,,7.69
NH3-B1,Cold Room B,amonia,2026-05-06T10:44:00.110841+00:00,,,3.5,,,5.25
NH3-A1,Cold Room A,amonia,2026-05-06T10:44:00.110841+00:00,,,9.01,,,13.52
HUM-B1,Cold Room B,kelembapan,2026-05-06T10:44:00.110841+00:00,,87.42,,,,32.03
HUM-A1,Cold Room A,kelembapan,2026-05-06T10:44:00.110841+00:00,,94.67,,,,16.68
TEMP-B1,Cold Room B,suhu,2026-05-06T10:44:00.110841+00:00,-18.51,,,,,37.72
TEMP-A1,Cold Room A,suhu,2026-05-06T10:44:00.110841+00:00,-19.07,,,,,6.61
PRESS-B1,Cold Room B,tekanan,2026-05-06T10:54:00.110841+00:00,,,,,74.28,20.57
PRESS-A1,Cold Room A,tekanan,2026-05-06T10:54:00.110841+00:00,,,,,60.47,13.92
DOOR-B1,Cold Room B,pintu,2026-05-06T10:54:00.110841+00:00,,,,0,,18.71
DOOR-A1,Cold Room A,pintu,2026-05-06T10:54:00.110841+00:00,,,,0,,17.96
NH3-B1,Cold Room B,amonia,2026-05-06T10:54:00.110841+00:00,,,3.04,,,4.56
NH3-A1,Cold Room A,amonia,2026-05-06T10:54:00.110841+00:00,,,3.79,,,5.69
HUM-B1,Cold Room B,kelembapan,2026-05-06T10:54:00.110841+00:00,,90.99,,,,9.31
HUM-A1,Cold Room A,kelembapan,2026-05-06T10:54:00.110841+00:00,,85.47,,,,5.64
TEMP-B1,Cold Room B,suhu,2026-05-06T10:54:00.110841+00:00,-20.67,,,,,11.1
TEMP-A1,Cold Room A,suhu,2026-05-06T10:54:00.110841+00:00,-20.43,,,,,28.54
PRESS-B1,Cold Room B,tekanan,2026-05-06T11:04:00.110841+00:00,,,,,60.4,27.6
PRESS-A1,Cold Room A,tekanan,2026-05-06T11:04:00.110841+00:00,,,,,67.57,21.35
DOOR-B1,Cold Room B,pintu,2026-05-06T11:04:00.110841+00:00,,,,0,,11.04
DOOR-A1,Cold Room A,pintu,2026-05-06T11:04:00.110841+00:00,,,,0,,9.26
NH3-B1,Cold Room B,amonia,2026-05-06T11:04:00.110841+00:00,,,8.9,,,13.35
NH3-A1,Cold Room A,amonia,2026-05-06T11:04:00.110841+00:00,,,31.67,,,190.02
HUM-B1,Cold Room B,kelembapan,2026-05-06T11:04:00.110841+00:00,,59.89,,,,172.28
HUM-A1,Cold Room A,kelembapan,2026-05-06T11:04:00.110841+00:00,,92.86,,,,10.81
TEMP-B1,Cold Room B,suhu,2026-05-06T11:04:00.110841+00:00,-18.94,,,,,29.57
TEMP-A1,Cold Room A,suhu,2026-05-06T11:04:00.110841+00:00,-18.85,,,,,18.59
PRESS-B1,Cold Room B,tekanan,2026-05-06T11:14:00.110841+00:00,,,,,56.22,13.47
PRESS-A1,Cold Room A,tekanan,2026-05-06T11:14:00.110841+00:00,,,,,52.71,16.33
DOOR-B1,Cold Room B,pintu,2026-05-06T11:14:00.110841+00:00,,,,0,,6.28
DOOR-A1,Cold Room A,pintu,2026-05-06T11:14:00.110841+00:00,,,,1,,165.08
NH3-B1,Cold Room B,amonia,2026-05-06T11:14:00.110841+00:00,,,2.99,,,4.49
NH3-A1,Cold Room A,amonia,2026-05-06T11:14:00.110841+00:00,,,8.4,,,12.6
HUM-B1,Cold Room B,kelembapan,2026-05-06T11:14:00.110841+00:00,,94.66,,,,9.96
HUM-A1,Cold Room A,kelembapan,2026-05-06T11:14:00.110841+00:00,,90.6,,,,16.62
TEMP-B1,Cold Room B,suhu,2026-05-06T11:14:00.110841+00:00,-19.04,,,,,18.26
TEMP-A1,Cold Room A,suhu,2026-05-06T11:14:00.110841+00:00,-21.04,,,,,25.48
PRESS-B1,Cold Room B,tekanan,2026-05-06T11:24:00.110841+00:00,,,,,50.95,24.53
PRESS-A1,Cold Room A,tekanan,2026-05-06T11:24:00.110841+00:00,,,,,78.16,10.19
DOOR-B1,Cold Room B,pintu,2026-05-06T11:24:00.110841+00:00,,,,0,,8.64
DOOR-A1,Cold Room A,pintu,2026-05-06T11:24:00.110841+00:00,,,,1,,188.35
NH3-B1,Cold Room B,amonia,2026-05-06T11:24:00.110841+00:00,,,9.09,,,13.63
NH3-A1,Cold Room A,amonia,2026-05-06T11:24:00.110841+00:00,,,2.14,,,3.21
HUM-B1,Cold Room B,kelembapan,2026-05-06T11:24:00.110841+00:00,,92.32,,,,31.23
HUM-A1,Cold Room A,kelembapan,2026-05-06T11:24:00.110841+00:00,,89.32,,,,18.52
TEMP-B1,Cold Room B,suhu,2026-05-06T11:24:00.110841+00:00,-20.25,,,,,34.48
TEMP-A1,Cold Room A,suhu,2026-05-06T11:24:00.110841+00:00,-20.84,,,,,22.21
PRESS-B1,Cold Room B,tekanan,2026-05-06T11:34:00.110841+00:00,,,,,67.46,11.7
PRESS-A1,Cold Room A,tekanan,2026-05-06T11:34:00.110841+00:00,,,,,73.36,27.16
DOOR-B1,Cold Room B,pintu,2026-05-06T11:34:00.110841+00:00,,,,0,,6.29
DOOR-A1,Cold Room A,pintu,2026-05-06T11:34:00.110841+00:00,,,,0,,13.05
NH3-B1,Cold Room B,amonia,2026-05-06T11:34:00.110841+00:00,,,3.72,,,5.58
NH3-A1,Cold Room A,amonia,2026-05-06T11:34:00.110841+00:00,,,8.86,,,13.29
HUM-B1,Cold Room B,kelembapan,2026-05-06T11:34:00.110841+00:00,,89.84,,,,27.61
HUM-A1,Cold Room A,kelembapan,2026-05-06T11:34:00.110841+00:00,,85.37,,,,24.7
TEMP-B1,Cold Room B,suhu,2026-05-06T11:34:00.110841+00:00,-21.18,,,,,36.12
TEMP-A1,Cold Room A,suhu,2026-05-06T11:34:00.110841+00:00,-21.73,,,,,17.31
PRESS-B1,Cold Room B,tekanan,2026-05-06T11:44:00.110841+00:00,,,,,55.95,17.23
PRESS-A1,Cold Room A,tekanan,2026-05-06T11:44:00.110841+00:00,,,,,62.0,29.19
DOOR-B1,Cold Room B,pintu,2026-05-06T11:44:00.110841+00:00,,,,0,,13.58
DOOR-A1,Cold Room A,pintu,2026-05-06T11:44:00.110841+00:00,,,,0,,19.42
NH3-B1,Cold Room B,amonia,2026-05-06T11:44:00.110841+00:00,,,5.14,,,7.71
NH3-A1,Cold Room A,amonia,2026-05-06T11:44:00.110841+00:00,,,2.04,,,3.06
HUM-B1,Cold Room B,kelembapan,2026-05-06T11:44:00.110841+00:00,,91.68,,,,36.33
HUM-A1,Cold Room A,kelembapan,2026-05-06T11:44:00.110841+00:00,,90.3,,,,38.07
TEMP-B1,Cold Room B,suhu,2026-05-06T11:44:00.110841+00:00,-20.72,,,,,7.71
TEMP-A1,Cold Room A,suhu,2026-05-06T11:44:00.110841+00:00,-18.78,,,,,23.28
PRESS-B1,Cold Room B,tekanan,2026-05-06T11:54:00.110841+00:00,,,,,78.14,17.02
PRESS-A1,Cold Room A,tekanan,2026-05-06T11:54:00.110841+00:00,,,,,78.65,22.39
DOOR-B1,Cold Room B,pintu,2026-05-06T11:54:00.110841+00:00,,,,0,,14.19
DOOR-A1,Cold Room A,pintu,2026-05-06T11:54:00.110841+00:00,,,,0,,13.19
NH3-B1,Cold Room B,amonia,2026-05-06T11:54:00.110841+00:00,,,6.75,,,10.12
NH3-A1,Cold Room A,amonia,2026-05-06T11:54:00.110841+00:00,,,1.79,,,2.69
HUM-B1,Cold Room B,kelembapan,2026-05-06T11:54:00.110841+00:00,,88.54,,,,8.66
HUM-A1,Cold Room A,kelembapan,2026-05-06T11:54:00.110841+00:00,,87.76,,,,15.34
TEMP-B1,Cold Room B,suhu,2026-05-06T11:54:00.110841+00:00,-18.38,,,,,13.72
TEMP-A1,Cold Room A,suhu,2026-05-06T11:54:00.110841+00:00,-18.61,,,,,33.35
PRESS-B1,Cold Room B,tekanan,2026-05-06T12:04:00.110841+00:00,,,,,65.38,13.98
PRESS-A1,Cold Room A,tekanan,2026-05-06T12:04:00.110841+00:00,,,,,55.4,26.63
DOOR-B1,Cold Room B,pintu,2026-05-06T12:04:00.110841+00:00,,,,0,,19.19
DOOR-A1,Cold Room A,pintu,2026-05-06T12:04:00.110841+00:00,,,,0,,9.27
NH3-B1,Cold Room B,amonia,2026-05-06T12:04:00.110841+00:00,,,3.94,,,5.91
NH3-A1,Cold Room A,amonia,2026-05-06T12:04:00.110841+00:00,,,6.84,,,10.26
HUM-B1,Cold Room B,kelembapan,2026-05-06T12:04:00.110841+00:00,,88.08,,,,37.52
HUM-A1,Cold Room A,kelembapan,2026-05-06T12:04:00.110841+00:00,,86.5,,,,32.36
TEMP-B1,Cold Room B,suhu,2026-05-06T12:04:00.110841+00:00,-18.94,,,,,20.2
TEMP-A1,Cold Room A,suhu,2026-05-06T12:04:00.110841+00:00,-21.64,,,,,23.39
PRESS-B1,Cold Room B,tekanan,2026-05-06T12:14:00.110841+00:00,,,,,75.75,27.05
PRESS-A1,Cold Room A,tekanan,2026-05-06T12:14:00.110841+00:00,,,,,55.97,23.43
DOOR-B1,Cold Room B,pintu,2026-05-06T12:14:00.110841+00:00,,,,0,,16.69
DOOR-A1,Cold Room A,pintu,2026-05-06T12:14:00.110841+00:00,,,,0,,9.45
NH3-B1,Cold Room B,amonia,2026-05-06T12:14:00.110841+00:00,,,8.99,,,13.48
NH3-A1,Cold Room A,amonia,2026-05-06T12:14:00.110841+00:00,,,2.03,,,3.04
HUM-B1,Cold Room B,kelembapan,2026-05-06T12:14:00.110841+00:00,,87.6,,,,30.99
HUM-A1,Cold Room A,kelembapan,2026-05-06T12:14:00.110841+00:00,,86.59,,,,9.49
TEMP-B1,Cold Room B,suhu,2026-05-06T12:14:00.110841+00:00,-20.85,,,,,32.77
TEMP-A1,Cold Room A,suhu,2026-05-06T12:14:00.110841+00:00,-21.7,,,,,38.64
PRESS-B1,Cold Room B,tekanan,2026-05-06T12:24:00.110841+00:00,,,,,79.07,17.35
PRESS-A1,Cold Room A,tekanan,2026-05-06T12:24:00.110841+00:00,,,,,67.33,24.65
DOOR-B1,Cold Room B,pintu,2026-05-06T12:24:00.110841+00:00,,,,0,,14.2
DOOR-A1,Cold Room A,pintu,2026-05-06T12:24:00.110841+00:00,,,,0,,10.79
NH3-B1,Cold Room B,amonia,2026-05-06T12:24:00.110841+00:00,,,9.39,,,14.09
NH3-A1,Cold Room A,amonia,2026-05-06T12:24:00.110841+00:00,,,7.74,,,11.61
HUM-B1,Cold Room B,kelembapan,2026-05-06T12:24:00.110841+00:00,,88.56,,,,21.7
HUM-A1,Cold Room A,kelembapan,2026-05-06T12:24:00.110841+00:00,,93.79,,,,14.64
TEMP-B1,Cold Room B,suhu,2026-05-06T12:24:00.110841+00:00,-19.83,,,,,9.24
TEMP-A1,Cold Room A,suhu,2026-05-06T12:24:00.110841+00:00,-19.54,,,,,24.4
PRESS-B1,Cold Room B,tekanan,2026-05-06T12:34:00.110841+00:00,,,,,58.5,25.3
PRESS-A1,Cold Room A,tekanan,2026-05-06T12:34:00.110841+00:00,,,,,76.52,25.93
DOOR-B1,Cold Room B,pintu,2026-05-06T12:34:00.110841+00:00,,,,0,,8.54
DOOR-A1,Cold Room A,pintu,2026-05-06T12:34:00.110841+00:00,,,,0,,18.65
NH3-B1,Cold Room B,amonia,2026-05-06T12:34:00.110841+00:00,,,5.7,,,8.55
NH3-A1,Cold Room A,amonia,2026-05-06T12:34:00.110841+00:00,,,2.23,,,3.34
HUM-B1,Cold Room B,kelembapan,2026-05-06T12:34:00.110841+00:00,,92.29,,,,31.56
HUM-A1,Cold Room A,kelembapan,2026-05-06T12:34:00.110841+00:00,,89.21,,,,39.47
TEMP-B1,Cold Room B,suhu,2026-05-06T12:34:00.110841+00:00,-21.93,,,,,30.78
TEMP-A1,Cold Room A,suhu,2026-05-06T12:34:00.110841+00:00,-19.53,,,,,32.12
PRESS-B1,Cold Room B,tekanan,2026-05-06T12:44:00.110841+00:00,,,,,66.5,17.7
PRESS-A1,Cold Room A,tekanan,2026-05-06T12:44:00.110841+00:00,,,,,56.88,16.59
DOOR-B1,Cold Room B,pintu,2026-05-06T12:44:00.110841+00:00,,,,0,,16.8
DOOR-A1,Cold Room A,pintu,2026-05-06T12:44:00.110841+00:00,,,,0,,12.24
NH3-B1,Cold Room B,amonia,2026-05-06T12:44:00.110841+00:00,,,6.1,,,9.15
NH3-A1,Cold Room A,amonia,2026-05-06T12:44:00.110841+00:00,,,8.04,,,12.06
HUM-B1,Cold Room B,kelembapan,2026-05-06T12:44:00.110841+00:00,,89.43,,,,28.83
HUM-A1,Cold Room A,kelembapan,2026-05-06T12:44:00.110841+00:00,,86.64,,,,17.37
TEMP-B1,Cold Room B,suhu,2026-05-06T12:44:00.110841+00:00,-21.18,,,,,15.46
TEMP-A1,Cold Room A,suhu,2026-05-06T12:44:00.110841+00:00,-20.06,,,,,20.97
PRESS-B1,Cold Room B,tekanan,2026-05-06T12:54:00.110841+00:00,,,,,58.64,22.7
PRESS-A1,Cold Room A,tekanan,2026-05-06T12:54:00.110841+00:00,,,,,60.67,16.05
DOOR-B1,Cold Room B,pintu,2026-05-06T12:54:00.110841+00:00,,,,0,,17.08
DOOR-A1,Cold Room A,pintu,2026-05-06T12:54:00.110841+00:00,,,,0,,15.26
NH3-B1,Cold Room B,amonia,2026-05-06T12:54:00.110841+00:00,,,4.58,,,6.87
NH3-A1,Cold Room A,amonia,2026-05-06T12:54:00.110841+00:00,,,4.63,,,6.95
HUM-B1,Cold Room B,kelembapan,2026-05-06T12:54:00.110841+00:00,,92.24,,,,8.35
HUM-A1,Cold Room A,kelembapan,2026-05-06T12:54:00.110841+00:00,,92.3,,,,8.22
TEMP-B1,Cold Room B,suhu,2026-05-06T12:54:00.110841+00:00,-19.46,,,,,7.38
TEMP-A1,Cold Room A,suhu,2026-05-06T12:54:00.110841+00:00,-18.79,,,,,35.09
PRESS-B1,Cold Room B,tekanan,2026-05-06T13:04:00.110841+00:00,,,,,65.44,20.96
PRESS-A1,Cold Room A,tekanan,2026-05-06T13:04:00.110841+00:00,,,,,15.92,177.85
DOOR-B1,Cold Room B,pintu,2026-05-06T13:04:00.110841+00:00,,,,0,,9.84
DOOR-A1,Cold Room A,pintu,2026-05-06T13:04:00.110841+00:00,,,,0,,7.07
NH3-B1,Cold Room B,amonia,2026-05-06T13:04:00.110841+00:00,,,3.27,,,4.91
NH3-A1,Cold Room A,amonia,2026-05-06T13:04:00.110841+00:00,,,3.65,,,5.47
HUM-B1,Cold Room B,kelembapan,2026-05-06T13:04:00.110841+00:00,,93.47,,,,38.47
HUM-A1,Cold Room A,kelembapan,2026-05-06T13:04:00.110841+00:00,,92.41,,,,37.45
TEMP-B1,Cold Room B,suhu,2026-05-06T13:04:00.110841+00:00,-21.48,,,,,28.99
TEMP-A1,Cold Room A,suhu,2026-05-06T13:04:00.110841+00:00,-19.62,,,,,24.22
PRESS-B1,Cold Room B,tekanan,2026-05-06T13:14:00.110841+00:00,,,,,72.6,28.22
PRESS-A1,Cold Room A,tekanan,2026-05-06T13:14:00.110841+00:00,,,,,78.6,17.9
DOOR-B1,Cold Room B,pintu,2026-05-06T13:14:00.110841+00:00,,,,0,,12.72
DOOR-A1,Cold Room A,pintu,2026-05-06T13:14:00.110841+00:00,,,,0,,8.16
NH3-B1,Cold Room B,amonia,2026-05-06T13:14:00.110841+00:00,,,9.1,,,13.65
NH3-A1,Cold Room A,amonia,2026-05-06T13:14:00.110841+00:00,,,3.65,,,5.47
HUM-B1,Cold Room B,kelembapan,2026-05-06T13:14:00.110841+00:00,,85.69,,,,12.94
HUM-A1,Cold Room A,kelembapan,2026-05-06T13:14:00.110841+00:00,,90.06,,,,14.77
TEMP-B1,Cold Room B,suhu,2026-05-06T13:14:00.110841+00:00,-21.97,,,,,39.55
TEMP-A1,Cold Room A,suhu,2026-05-06T13:14:00.110841+00:00,-18.79,,,,,19.18
PRESS-B1,Cold Room B,tekanan,2026-05-06T13:24:00.110841+00:00,,,,,66.27,20.09
PRESS-A1,Cold Room A,tekanan,2026-05-06T13:24:00.110841+00:00,,,,,53.5,20.91
DOOR-B1,Cold Room B,pintu,2026-05-06T13:24:00.110841+00:00,,,,0,,6.02
DOOR-A1,Cold Room A,pintu,2026-05-06T13:24:00.110841+00:00,,,,1,,184.02
NH3-B1,Cold Room B,amonia,2026-05-06T13:24:00.110841+00:00,,,48.03,,,288.18
NH3-A1,Cold Room A,amonia,2026-05-06T13:24:00.110841+00:00,,,5.94,,,8.91
HUM-B1,Cold Room B,kelembapan,2026-05-06T13:24:00.110841+00:00,,93.31,,,,15.16
HUM-A1,Cold Room A,kelembapan,2026-05-06T13:24:00.110841+00:00,,91.17,,,,10.53
TEMP-B1,Cold Room B,suhu,2026-05-06T13:24:00.110841+00:00,-20.44,,,,,6.37
TEMP-A1,Cold Room A,suhu,2026-05-06T13:24:00.110841+00:00,-20.62,,,,,23.52
PRESS-B1,Cold Room B,tekanan,2026-05-06T13:34:00.110841+00:00,,,,,53.51,12.88
PRESS-A1,Cold Room A,tekanan,2026-05-06T13:34:00.110841+00:00,,,,,66.67,13.59
